player_name,role,batting_position,special_shot,bowling_style,batting_style,teams,country,age,is_young_star,formats
Rohit Sharma,Opening Batsman,1-2,Pull Shot - Six Hitting King,Right-arm Off-break,Right-hand Top-order,Mumbai Indians,India,37,No,ODI|T20|IPL
Virat Kohli,Top-Order Batsman,3-4,Cover Drive - Chase Master,Right-arm Medium,Right-hand Classical,Royal Challengers Bangalore,India,36,No,ODI|T20|IPL
KL Rahul,Opening Batsman,1-3,Square Drive - Elegant,Right-arm Off-break,Right-hand Classical,Lucknow Super Giants,India,32,No,ODI|T20|IPL
Hardik Pandya,Pace Bowling All-Rounder,6-7,Pull Shot - Power Hitter,Right-arm Fast-medium - Slower Ball Specialist,Right-hand Aggressive,Mumbai Indians,India,31,No,ODI|T20|IPL
Jasprit Bumrah,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Yorker King,Right-hand Tail-ender,Mumbai Indians,India,31,No,ODI|T20|IPL
Ravindra Jadeja,Spin Bowling All-Rounder,7-8,Sweep Shot - Aggressive,Slow Left-arm Orthodox - Arm Ball Specialist,Left-hand Middle-order,Chennai Super Kings,India,36,No,ODI|T20|IPL
Rishabh Pant,Wicketkeeper Batsman,5-6,Reverse Sweep - Ultra Aggressive,N/A,Left-hand Explosive,Delhi Capitals,India,27,No,ODI|T20|IPL
Shubman Gill,Top-Order Batsman,1-3,Straight Drive - Classical,Right-arm Off-break,Right-hand Elegant,Gujarat Titans,India,25,Yes,ODI|T20|IPL
Yashasvi Jaiswal,Opening Batsman,1-2,Cut Shot - Aggressive Opener,Right-arm Leg-break,Left-hand Aggressive,Rajasthan Royals,India,23,Yes,T20|IPL
Suryakumar Yadav,Middle-Order Batsman,4-5,Scoop Shot - 360 Degree Player,Right-arm Off-break,Right-hand Innovative,Mumbai Indians,India,34,No,ODI|T20|IPL
Mohammed Siraj,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Inswing Specialist,Right-hand Tail-ender,Royal Challengers Bangalore,India,30,No,ODI|T20|IPL
Kuldeep Yadav,Spin Bowler,9-11,N/A - Pure Bowler,Left-arm Chinaman - Googly Master,Left-hand Tail-ender,Delhi Capitals,India,29,No,ODI|T20|IPL
Ravichandran Ashwin,Spin Bowling All-Rounder,8-9,Sweep Shot - Smart Player,Right-arm Off-break - Carrom Ball Specialist,Right-hand Lower-order,Rajasthan Royals,India,38,No,ODI|T20|IPL
Mohammed Shami,Fast Bowler,11,N/A - Pure Bowler,Right-arm Fast - Outswing King,Right-hand Tail-ender,Gujarat Titans,India,34,No,ODI|T20|IPL
Shreyas Iyer,Middle-Order Batsman,4-5,Pull Shot - Classical,Right-arm Off-break,Right-hand Classical,Kolkata Knight Riders,India,30,No,ODI|T20|IPL
Rinku Singh,Middle-Order Batsman,5-7,Pull Shot - Finisher Specialist,N/A,Left-hand Aggressive,Kolkata Knight Riders,India,27,Yes,T20|IPL
Tilak Varma,Middle-Order Batsman,4-6,Cover Drive - Elegant,Slow Left-arm Orthodox,Left-hand Classy,Mumbai Indians,India,22,Yes,T20|IPL
Abhishek Sharma,Opening All-Rounder,1-3,Switch Hit - Power Hitter,Slow Left-arm Orthodox,Left-hand Explosive,Sunrisers Hyderabad,India,24,Yes,T20|IPL
Arshdeep Singh,Fast Bowler,10-11,N/A - Pure Bowler,Left-arm Fast - Death Overs Yorker Specialist,Left-hand Tail-ender,Punjab Kings,India,25,Yes,T20|IPL
Shivam Dube,Batting All-Rounder,6-7,Straight Hit - Six Machine,Right-arm Medium,Left-hand Power-hitter,Chennai Super Kings,India,31,No,T20|IPL
Ishan Kishan,Wicketkeeper Batsman,1-5,Pull Shot - Aggressive,Right-arm Off-break,Left-hand Aggressive,Mumbai Indians,India,26,No,ODI|T20|IPL
Sanju Samson,Wicketkeeper Batsman,3-5,Cover Drive - Elegant,Right-arm Off-break,Right-hand Classical,Rajasthan Royals,India,30,No,ODI|T20|IPL
Axar Patel,Spin Bowling All-Rounder,7-8,Straight Drive,Slow Left-arm Orthodox - Arm Ball,Left-hand Aggressive,Delhi Capitals,India,31,No,ODI|T20|IPL
Yuzvendra Chahal,Spin Bowler,9-11,N/A - Pure Bowler,Right-arm Leg-break - Googly Specialist,Right-hand Tail-ender,Rajasthan Royals,India,34,No,ODI|T20|IPL
Washington Sundar,Spin Bowling All-Rounder,7-8,Straight Drive,Right-arm Off-break,Right-hand Classical,Sunrisers Hyderabad,India,25,No,ODI|T20|IPL
David Warner,Opening Batsman,1-2,Pull Shot - Aggressive Switch Hitter,Right-arm Leg-break,Left-hand Aggressive,Delhi Capitals,Australia,38,No,ODI|T20|IPL
Steve Smith,Top-Order Batsman,3-4,Leg Glance - Unorthodox Master,Right-arm Leg-break,Right-hand Unorthodox,Sydney Sixers,Australia,35,No,ODI|T20
Glenn Maxwell,Middle-Order All-Rounder,5-7,Reverse Sweep - 360 Degree,Right-arm Off-break - Mystery,Right-hand Innovative,Royal Challengers Bangalore,Australia,36,No,ODI|T20|IPL
Mitchell Starc,Fast Bowler,10-11,N/A - Pure Bowler,Left-arm Fast - Inswing Yorker King,Left-hand Tail-ender,Kolkata Knight Riders,Australia,34,No,ODI|T20|IPL
Pat Cummins,Fast Bowling All-Rounder,8-9,Straight Drive,Right-arm Fast - Bouncer Specialist,Right-hand Lower-order,Sunrisers Hyderabad,Australia,31,No,ODI|T20|IPL
Josh Hazlewood,Fast Bowler,11,N/A - Pure Bowler,Right-arm Fast-medium - Line & Length King,Right-hand Tail-ender,Royal Challengers Bangalore,Australia,34,No,ODI|T20|IPL
Adam Zampa,Spin Bowler,9-11,N/A - Pure Bowler,Right-arm Leg-break - Googly Master,Right-hand Tail-ender,Rajasthan Royals,Australia,32,No,ODI|T20|IPL
Travis Head,Opening All-Rounder,1-2,Pull Shot - Explosive Opener,Slow Left-arm Orthodox,Left-hand Aggressive,Sunrisers Hyderabad,Australia,31,No,ODI|T20|IPL
Marnus Labuschagne,Top-Order Batsman,3-4,Cut Shot - Technical,Right-arm Leg-break,Right-hand Classical,Brisbane Heat,Australia,30,No,ODI|T20
Marcus Stoinis,Pace Bowling All-Rounder,6-7,Straight Hit - Power,Right-arm Fast-medium,Right-hand Power-hitter,Lucknow Super Giants,Australia,35,No,ODI|T20|IPL
Kane Williamson,Top-Order Batsman,3-4,Straight Drive - Anchor Master,Right-arm Off-break,Right-hand Classical,Gujarat Titans,New Zealand,34,No,ODI|T20|IPL
Trent Boult,Fast Bowler,10-11,N/A - Pure Bowler,Left-arm Fast - Swing King,Left-hand Tail-ender,Rajasthan Royals,New Zealand,35,No,ODI|T20|IPL
Rachin Ravindra,Opening All-Rounder,1-3,Cover Drive - Classical,Slow Left-arm Orthodox,Left-hand Elegant,Chennai Super Kings,New Zealand,25,Yes,ODI|T20|IPL
Devon Conway,Opening Batsman,1-2,Sweep Shot - Innovative,N/A,Left-hand Classical,Chennai Super Kings,New Zealand,33,No,ODI|T20|IPL
Babar Azam,Top-Order Batsman,3-4,Cover Drive - Classical Genius,Right-arm Off-break,Right-hand Classical,Peshawar Zalmi,Pakistan,30,No,ODI|T20
Shaheen Afridi,Fast Bowler,10-11,N/A - Pure Bowler,Left-arm Fast - Inswing & Yorker Specialist,Left-hand Tail-ender,Lahore Qalandars,Pakistan,24,Yes,ODI|T20
Mohammad Rizwan,Wicketkeeper Batsman,1-4,Sweep Shot - Consistent,N/A,Right-hand Reliable,Multan Sultans,Pakistan,32,No,ODI|T20
Shadab Khan,Spin Bowling All-Rounder,7-8,Sweep Shot,Right-arm Leg-break - Googly Specialist,Right-hand Aggressive,Islamabad United,Pakistan,26,No,ODI|T20
Haris Rauf,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Express Pace,Right-hand Tail-ender,Punjab Kings,Pakistan,31,No,T20|IPL
Quinton de Kock,Wicketkeeper Batsman,1-2,Pull Shot - Aggressive Opener,N/A,Left-hand Aggressive,Lucknow Super Giants,South Africa,32,No,ODI|T20|IPL
Kagiso Rabada,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Bouncer & Yorker Specialist,Right-hand Tail-ender,Punjab Kings,South Africa,29,No,ODI|T20|IPL
Heinrich Klaasen,Wicketkeeper Batsman,5-6,Pull Shot - Six Machine,N/A,Right-hand Power-hitter,Sunrisers Hyderabad,South Africa,33,No,ODI|T20|IPL
Aiden Markram,Top-Order All-Rounder,3-4,Cut Shot - Classical,Right-arm Off-break,Right-hand Elegant,Sunrisers Hyderabad,South Africa,30,No,ODI|T20|IPL
David Miller,Middle-Order Batsman,5-6,Pull Shot - Finisher,N/A,Left-hand Power-hitter,Gujarat Titans,South Africa,35,No,ODI|T20|IPL
Anrich Nortje,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Express Pace & Yorker,Right-hand Tail-ender,Delhi Capitals,South Africa,31,No,ODI|T20|IPL
Jos Buttler,Wicketkeeper Batsman,1-2,Scoop Shot - Innovative Master,N/A,Right-hand Aggressive,Rajasthan Royals,England,34,No,ODI|T20|IPL
Ben Stokes,Pace Bowling All-Rounder,5-6,Pull Shot - Power All-Rounder,Right-arm Fast-medium - Reverse Swing,Left-hand Aggressive,Chennai Super Kings,England,34,No,ODI|T20|IPL
Jofra Archer,Fast Bowler,10-11,N/A - Pure Bowler,Right-arm Fast - Bouncer & Yorker King,Right-hand Tail-ender,Mumbai Indians,England,29,No,ODI|T20|IPL
Joe Root,Top-Order Batsman,3-4,Sweep Shot - Classical Master,Right-arm Off-break,Right-hand Classical,Rajasthan Royals,England,34,No,ODI|T20
Sam Curran,Pace Bowling All-Rounder,7-8,Straight Hit - Aggressive,Left-arm Fast-medium - Slower Ball King,Left-hand Aggressive,Punjab Kings,England,26,No,ODI|T20|IPL
Jonny Bairstow,Wicketkeeper Batsman,1-3,Pull Shot - Aggressive,Right-arm Off-break,Right-hand Aggressive,Punjab Kings,England,35,No,ODI|T20|IPL
Moeen Ali,Spin Bowling All-Rounder,7-8,Sweep Shot,Right-arm Off-break,Left-hand Aggressive,Chennai Super Kings,England,37,No,ODI|T20|IPL
Liam Livingstone,Batting All-Rounder,5-7,Switch Hit - Six Machine,Right-arm Leg-break,Right-hand Power-hitter,Punjab Kings,England,31,No,ODI|T20|IPL
Rashid Khan,Spin Bowling All-Rounder,8-9,Sweep Shot,Right-arm Leg-break - Googly Master,Right-hand Lower-order,Gujarat Titans,Afghanistan,26,No,ODI|T20|IPL
Mohammad Nabi,Spin Bowling All-Rounder,7-8,Sweep Shot - Power Hitter,Right-arm Off-break,Right-hand Aggressive,Sunrisers Hyderabad,Afghanistan,39,No,ODI|T20|IPL
Mujeeb Ur Rahman,Spin Bowler,9-11,N/A - Pure Bowler,Right-arm Off-break - Mystery Spinner,Right-hand Tail-ender,Punjab Kings,Afghanistan,23,Yes,T20|IPL
